"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J_Digital6";"PinHeader_1x03_P2.54mm_Vertical";1;"D6";;;
2;"J_Servo8";"PinHeader_1x03_P2.54mm_Vertical";1;"8";;;
3;"J_Servo1";"PinHeader_1x03_P2.54mm_Vertical";1;"1";;;
4;"SPI1";"PinHeader_1x06_P2.54mm_Vertical";1;"SPI";;;
5;"J_Servo7";"PinHeader_1x03_P2.54mm_Vertical";1;"7";;;
6;"J_Servo6";"PinHeader_1x03_P2.54mm_Vertical";1;"6";;;
7;"J_Servo5";"PinHeader_1x03_P2.54mm_Vertical";1;"5";;;
8;"J_Servo4";"PinHeader_1x03_P2.54mm_Vertical";1;"4";;;
9;"J_Servo3";"PinHeader_1x03_P2.54mm_Vertical";1;"3";;;
10;"J_Servo2";"PinHeader_1x03_P2.54mm_Vertical";1;"2";;;
11;"J_Digital5";"PinHeader_1x03_P2.54mm_Vertical";1;"D5";;;
12;"J_Digital4";"PinHeader_1x03_P2.54mm_Vertical";1;"D4";;;
13;"J_Digital3";"PinHeader_1x03_P2.54mm_Vertical";1;"D3";;;
14;"J_Digital2";"PinHeader_1x03_P2.54mm_Vertical";1;"D2";;;
15;"J_Digital1";"PinHeader_1x03_P2.54mm_Vertical";1;"D1";;;
16;"J_Analog2";"PinHeader_1x03_P2.54mm_Vertical";1;"A2";;;
17;"J_Analog1";"PinHeader_1x03_P2.54mm_Vertical";1;"A1";;;
18;"I2C1";"PinHeader_1x04_P2.54mm_Vertical";1;"Aux I2C";;;
19;"ESP32-S3";"ESP32-S2-DevKitC-1";1;"ESP32-S3-DevKitC";;;
20;"J3";"microSD_HC_Hirose_DM3AT-SF-PEJM5";1;"Micro_SD_Card";;;
21;"J_RCSEL1";"PinHeader_1x02_P2.54mm_Vertical";1;"RCSEL";;;
22;"XBee3";"XB324Z8UTJ";1;"XB3-24Z8UT-J";;;
23;"Serial0";"PinHeader_1x04_P2.54mm_Vertical";1;"Serial0";;;
24;"J1";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Screw_Terminal_01x02";;;
25;"SWSerial1";"PinHeader_1x04_P2.54mm_Vertical";1;"Serial2";;;
26;"J_PPMIN1";"PinHeader_1x03_P2.54mm_Vertical";1;"PPMIN";;;
27;"Serial1";"PinHeader_1x04_P2.54mm_Vertical";1;"Serial1";;;
28;"J_SEL2";"PinHeader_1x02_P2.54mm_Vertical";1;"RCSEL2";;;
